# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6199007
#
# Overhead  Command  Shared Object      Symbol                                 
# ........  .......  .................  .......................................
#
     3.31%  lua      [kernel.kallsyms]  [k] blast_icache32                     
     2.64%  lua      libc-2.19.so       [.] _dl_addr                           
     2.64%  lua      libc-2.19.so       [.] malloc                             
     2.41%  lua      [kernel.kallsyms]  [k] blast_dcache32                     
     1.87%  lua      [kernel.kallsyms]  [k] filemap_map_pages                  
     1.67%  lua      [kernel.kallsyms]  [k] copy_page                          
     1.61%  lua      ld-2.19.so         [.] 0x00008f0c                         
     1.56%  lua      [kernel.kallsyms]  [k] unmap_single_vma                   
     1.21%  lua      ld-2.19.so         [.] 0x00018ebc                         
     1.19%  lua      [kernel.kallsyms]  [k] set_pte_at                         
     1.17%  lua      ld-2.19.so         [.] 0x000093dc                         
     1.17%  lua      liblua.so.5.1.5    [.] luaM_realloc_                      
     1.13%  lua      [kernel.kallsyms]  [k] r4k_blast_dcache_page_dc32         
     1.10%  lua      [kernel.kallsyms]  [k] clear_page                         
     1.05%  lua      ld-2.19.so         [.] 0x0000941c                         
     1.03%  lua      liblua.so.5.1.5    [.] luaS_newlstr                       
     0.84%  lua      [kernel.kallsyms]  [k] perf_event_aux                     
     0.78%  lua      [kernel.kallsyms]  [k] __update_tlb                       
     0.73%  lua      ld-2.19.so         [.] 0x00019924                         
     0.73%  lua      libc-2.19.so       [.] strlen                             
     0.73%  lua      [kernel.kallsyms]  [k] handle_mm_fault                    
     0.70%  lua      [kernel.kallsyms]  [k] get_page_from_freelist             
     0.67%  lua      ld-2.19.so         [.] 0x000197c0                         
     0.60%  lua      [kernel.kallsyms]  [k] vma_interval_tree_insert           
     0.59%  lua      ld-2.19.so         [.] 0x000098cc                         
     0.59%  lua      ld-2.19.so         [.] 0x0000b7e4                         
     0.59%  lua      libc-2.19.so       [.] memcpy                             
     0.58%  lua      [kernel.kallsyms]  [k] pagevec_lru_move_fn                
     0.57%  lua      [kernel.kallsyms]  [k] __bzero                            
     0.56%  lua      [kernel.kallsyms]  [k] __copy_user_common                 
     0.53%  lua      [kernel.kallsyms]  [k] do_mmap_pgoff                      
     0.51%  lua      [kernel.kallsyms]  [k] __down_write_nested                
     0.51%  lua      [kernel.kallsyms]  [k] change_protection                  
     0.50%  lua      [kernel.kallsyms]  [k] __up_write                         
     0.48%  lua      ld-2.19.so         [.] 0x00018ecc                         
     0.47%  lua      [kernel.kallsyms]  [k] __do_page_fault                    
     0.47%  lua      [kernel.kallsyms]  [k] vma_interval_tree_remove           
     0.46%  lua      [kernel.kallsyms]  [k] __wake_up_bit                      
     0.46%  lua      [kernel.kallsyms]  [k] do_read_fault.isra.98              
     0.46%  lua      [kernel.kallsyms]  [k] release_pages                      
     0.44%  lua      ld-2.19.so         [.] 0x00009228                         
     0.44%  lua      ld-2.19.so         [.] 0x000093d4                         
     0.44%  lua      liblua.so.5.1.5    [.] luaL_openlib                       
     0.41%  lua      [kernel.kallsyms]  [k] prepend_path                       
     0.37%  lua      [kernel.kallsyms]  [k] free_pages_and_swap_cache          
     0.37%  lua      [kernel.kallsyms]  [k] md5_transform                      
     0.33%  lua      [kernel.kallsyms]  [k] free_pgd_range                     
     0.33%  lua      [kernel.kallsyms]  [k] free_pgtables                      
     0.33%  lua      [kernel.kallsyms]  [k] kmem_cache_alloc                   
     0.33%  lua      [kernel.kallsyms]  [k] link_path_walk                     
     0.33%  lua      [kernel.kallsyms]  [k] mmap_region                        
     0.33%  lua      [kernel.kallsyms]  [k] perf_event_mmap                    
     0.33%  lua      [kernel.kallsyms]  [k] perf_event_mmap_output             
     0.31%  lua      [kernel.kallsyms]  [k] do_set_pte                         
     0.31%  lua      [kernel.kallsyms]  [k] do_wp_page.isra.96                 
     0.29%  lua      [kernel.kallsyms]  [k] __tlb_remove_page                  
     0.29%  lua      [kernel.kallsyms]  [k] page_remove_rmap                   
     0.29%  lua      ld-2.19.so         [.] 0x00008ed4                         
     0.29%  lua      ld-2.19.so         [.] 0x00008f00                         
     0.29%  lua      ld-2.19.so         [.] 0x00008f44                         
     0.29%  lua      ld-2.19.so         [.] 0x000091c0                         
     0.29%  lua      ld-2.19.so         [.] 0x00009230                         
     0.29%  lua      ld-2.19.so         [.] 0x000098d8                         
     0.29%  lua      ld-2.19.so         [.] 0x00018eb4                         
     0.29%  lua      ld-2.19.so         [.] 0x0001991c                         
     0.29%  lua      ld-2.19.so         [.] 0x0001992c                         
     0.29%  lua      libc-2.19.so       [.] free                               
     0.29%  lua      libc-2.19.so       [.] 0x00073050                         
     0.29%  lua      libc-2.19.so       [.] 0x000731d0                         
     0.29%  lua      libc-2.19.so       [.] 0x00073e80                         
     0.29%  lua      liblua.so.5.1.5    [.] lua_pushcclosure                   
     0.29%  lua      liblua.so.5.1.5    [.] lua_pushlstring                    
     0.29%  lua      liblua.so.5.1.5    [.] lua_setfield                       
     0.29%  lua      liblua.so.5.1.5    [.] luaopen_io                         
     0.29%  lua      liblua.so.5.1.5    [.] luaopen_package                    
     0.29%  lua      liblua.so.5.1.5    [.] 0x0000be40                         
     0.29%  lua      liblua.so.5.1.5    [.] 0x0000be54                         
