# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 25K of event 'cycles'
# Event count (approx.): 1466031924
#
# Overhead  Command  Shared Object        Symbol                                                                                         
# ........  .......  ...................  ...................................................................................................................................................................................................................................................................................
#
     1.83%  node     node                 [.] v8::internal::Scanner::Advance                                                                                                                                                                                                                                                 
     1.40%  node     node                 [.] v8::internal::Zone::New                                                                                                                                                                                                                                                        
     1.22%  node     node                 [.] v8::internal::Scanner::ScanIdentifierOrKeyword                                                                                                                                                                                                                                 
     1.19%  node     libc-2.19.so         [.] memcpy                                                                                                                                                                                                                                                                         
     0.99%  node     node                 [.] v8::internal::TemplateHashMapImpl<v8::internal::FreeStoreAllocationPolicy>::Probe                                                                                                                                                                                              
     0.96%  node     node                 [.] v8::internal::Scanner::Scan                                                                                                                                                                                                                                                    
     0.96%  node     libc-2.19.so         [.] vfprintf                                                                                                                                                                                                                                                                       
     0.84%  node     node                 [.] unibrow::Predicate<v8::internal::IdentifierPart, 128>::get                                                                                                                                                                                                                     
     0.72%  node     node                 [.] v8::internal::String::WriteToFlat<unsigned short>                                                                                                                                                                                                                              
     0.70%  node     node                 [.] v8::internal::Scanner::Next                                                                                                                                                                                                                                                    
     0.66%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseBinaryExpression                                                                                                                                                                                                    
     0.60%  node     node                 [.] v8::internal::Assembler::emit                                                                                                                                                                                                                                                  
     0.60%  node     [kernel.kallsyms]    [k] clear_page                                                                                                                                                                                                                                                                     
     0.59%  node     node                 [.] v8::internal::HeapObject::GetIsolate                                                                                                                                                                                                                                           
     0.49%  node     node                 [.] v8::internal::Parser::ParseFunctionLiteral                                                                                                                                                                                                                                     
     0.49%  node     node                 [.] v8::internal::StringHasher::HashSequentialString<unsigned char>                                                                                                                                                                                                                
     0.48%  node     libc-2.19.so         [.] memcmp                                                                                                                                                                                                                                                                         
     0.46%  node     libgcc_s.so.1        [.] __pack_d                                                                                                                                                                                                                                                                       
     0.45%  node     node                 [.] v8::internal::Heap::AllocateRaw                                                                                                                                                                                                                                                
     0.44%  node     libc-2.19.so         [.] malloc                                                                                                                                                                                                                                                                         
     0.42%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseAssignmentExpression                                                                                                                                                                                                
     0.42%  node     node                 [.] v8::internal::Scope::ResolveVariable                                                                                                                                                                                                                                           
     0.40%  node     libc-2.19.so         [.] free                                                                                                                                                                                                                                                                           
     0.39%  node     [kernel.kallsyms]    [k] cop1Emulate.constprop.9                                                                                                                                                                                                                                                        
     0.37%  node     node                 [.] v8::internal::Expression::Expression                                                                                                                                                                                                                                           
     0.37%  node     node                 [.] v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape, v8::internal::HashTableKey*>::FindEntry                                                                                                                                                     
     0.37%  node     node                 [.] unibrow::Predicate<v8::internal::IdentifierStart, 128>::get                                                                                                                                                                                                                    
     0.36%  node     node                 [.] v8::internal::HashTable<v8::internal::UnseededNumberDictionary, v8::internal::UnseededNumberDictionaryShape, unsigned int>::FindEntry                                                                                                                                          
     0.36%  node     node                 [.] v8::internal::NameDictionary::FindEntry                                                                                                                                                                                                                                        
     0.35%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseMemberExpressionContinuation                                                                                                                                                                                        
     0.35%  node     node                 [.] v8::internal::AstRawString::Compare                                                                                                                                                                                                                                            
     0.34%  node     node                 [.] v8::internal::TemplateHashMapImpl<v8::internal::ZoneAllocationPolicy>::Probe                                                                                                                                                                                                   
     0.34%  node     node                 [.] v8::internal::AstValueFactory::GetString                                                                                                                                                                                                                                       
     0.32%  node     node                 [.] unibrow::Predicate<unibrow::LineTerminator, 128>::get                                                                                                                                                                                                                          
     0.31%  node     node                 [.] v8::internal::FullCodeGenerator::Visit                                                                                                                                                                                                                                         
     0.30%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseLeftHandSideExpression                                                                                                                                                                                              
     0.30%  node     node                 [.] v8::internal::AstValueFactory::GetOneByteString                                                                                                                                                                                                                                
     0.29%  node     libc-2.19.so         [.] memchr                                                                                                                                                                                                                                                                         
     0.28%  node     node                 [.] v8::internal::AstConstructionVisitor::add_slot_node                                                                                                                                                                                                                            
     0.28%  node     node                 [.] v8::internal::RelocIterator::next                                                                                                                                                                                                                                              
     0.28%  node     node                 [.] v8::internal::Name::Hash                                                                                                                                                                                                                                                       
     0.28%  node     [kernel.kallsyms]    [k] fpu_emulator_cop1Handler                                                                                                                                                                                                                                                       
     0.28%  node     node                 [.] v8::internal::TemplateHashMapImpl<v8::internal::ZoneAllocationPolicy>::Lookup                                                                                                                                                                                                  
     0.28%  node     [kernel.kallsyms]    [k] get_page_from_freelist                                                                                                                                                                                                                                                         
     0.28%  node     node                 [.] v8::internal::LookupIterator::LookupInHolder                                                                                                                                                                                                                                   
     0.27%  node     node                 [.] v8::internal::Scanner::ScanString                                                                                                                                                                                                                                              
     0.27%  node     node                 [.] v8::internal::Assembler::bind_to                                                                                                                                                                                                                                               
     0.27%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParsePrimaryExpression                                                                                                                                                                                                   
     0.26%  node     node                 [.] v8::internal::StringHasher::GetHashField                                                                                                                                                                                                                                       
     0.26%  node     node                 [.] v8::internal::Scope::NewUnresolved<v8::internal::AstConstructionVisitor>                                                                                                                                                                                                       
     0.25%  node     node                 [.] v8::internal::DescriptorArray::GetDetails                                                                                                                                                                                                                                      
     0.25%  node     libgcc_s.so.1        [.] __unpack_d                                                                                                                                                                                                                                                                     
     0.25%  node     node                 [.] v8::internal::PagedSpace::AllocateRaw                                                                                                                                                                                                                                          
     0.24%  node     node                 [.] v8::internal::Assembler::set_target_address_at                                                                                                                                                                                                                                 
     0.24%  node     node                 [.] v8::internal::LCodeGenBase::GenerateBody                                                                                                                                                                                                                                       
     0.24%  node     node                 [.] v8::internal::Factory::NewStringFromUtf8                                                                                                                                                                                                                                       
     0.24%  node     node                 [.] v8::internal::RelocInfoWriter::Write                                                                                                                                                                                                                                           
     0.23%  node     node                 [.] v8::internal::Assembler::CheckBuffer                                                                                                                                                                                                                                           
     0.23%  node     node                 [.] v8::internal::Heap::AllocateFixedArrayWithFiller                                                                                                                                                                                                                               
     0.23%  node     libgcc_s.so.1        [.] __floatsidf                                                                                                                                                                                                                                                                    
     0.23%  node     node                 [.] v8::internal::List<v8::internal::FuncNameInferrer::Name, v8::internal::ZoneAllocationPolicy>::Add                                                                                                                                                                              
     0.22%  node     [kernel.kallsyms]    [k] r4k_blast_dcache_page_dc32                                                                                                                                                                                                                                                     
     0.22%  node     node                 [.] v8::internal::HGraph::Optimize                                                                                                                                                                                                                                                 
     0.22%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseConditionalExpression                                                                                                                                                                                               
     0.22%  node     node                 [.] v8::internal::FixedArray::set                                                                                                                                                                                                                                                  
     0.22%  node     node                 [.] v8::internal::CodeStub::GetCode                                                                                                                                                                                                                                                
     0.22%  node     node                 [.] v8::internal::Factory::NewCode                                                                                                                                                                                                                                                 
     0.21%  node     [kernel.kallsyms]    [k] handle_sys                                                                                                                                                                                                                                                                     
