# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 1004956412
#
# Overhead  Command  Shared Object        Symbol                                    
# ........  .......  ...................  ..........................................
#
     5.56%  python   libpython2.7.so.1.0  [.] classify                              
     5.42%  python   libc-2.19.so         [.] malloc                                
     5.32%  python   libpython2.7.so.1.0  [.] PyParser_AddToken                     
     3.75%  python   libpython2.7.so.1.0  [.] freechildren                          
     2.64%  python   libpython2.7.so.1.0  [.] PyNode_AddChild                       
     2.04%  python   libpython2.7.so.1.0  [.] tok_get                               
     1.83%  python   libpython2.7.so.1.0  [.] ast_for_expr                          
     1.81%  python   libc-2.19.so         [.] free                                  
     1.79%  python   libpython2.7.so.1.0  [.] tok_nextc                             
     1.74%  python   libpython2.7.so.1.0  [.] lookdict_string                       
     1.70%  python   libc-2.19.so         [.] realloc                               
     1.69%  python   libpython2.7.so.1.0  [.] push                                  
     1.56%  python   libc-2.19.so         [.] 0x000724e0                            
     1.49%  python   libpython2.7.so.1.0  [.] PyDict_GetItem                        
     1.21%  python   libc-2.19.so         [.] memcpy                                
     1.20%  python   libpython2.7.so.1.0  [.] Py_UniversalNewlineFgets              
     1.06%  python   libpython2.7.so.1.0  [.] PyDict_Next                           
     0.69%  python   libpython2.7.so.1.0  [.] PyObject_Hash                         
     0.68%  python   libpython2.7.so.1.0  [.] string_hash                           
     0.68%  python   libpython2.7.so.1.0  [.] PyTuple_New                           
     0.61%  python   libc-2.19.so         [.] fgetc_unlocked                        
     0.61%  python   libpython2.7.so.1.0  [.] tupledealloc                          
     0.61%  python   libpython2.7.so.1.0  [.] PyEval_EvalFrameEx                    
     0.61%  python   libpython2.7.so.1.0  [.] insertdict_by_entry                   
     0.60%  python   libc-2.19.so         [.] memset                                
     0.57%  python   libpython2.7.so.1.0  [.] compiler_add_o.isra.10                
     0.57%  python   libpython2.7.so.1.0  [.] compiler_visit_expr                   
     0.57%  python   libpython2.7.so.1.0  [.] lookdict                              
     0.56%  python   libc-2.19.so         [.] 0x00073f8c                            
     0.55%  python   libc-2.19.so         [.] 0x000731d0                            
     0.54%  python   libpython2.7.so.1.0  [.] dict_dealloc                          
     0.52%  python   libpython2.7.so.1.0  [.] PyCode_Optimize                       
     0.49%  python   libc-2.19.so         [.] 0x0007256c                            
     0.46%  python   libpython2.7.so.1.0  [.] PyObject_RichCompare                  
     0.45%  python   libpython2.7.so.1.0  [.] PyString_InternInPlace                
     0.45%  python   libpython2.7.so.1.0  [.] symtable_visit_stmt                   
     0.42%  python   libc-2.19.so         [.] strchr                                
     0.42%  python   libpython2.7.so.1.0  [.] parsetok                              
     0.42%  python   libc-2.19.so         [.] 0x00071664                            
     0.42%  python   libpython2.7.so.1.0  [.] PyInt_FromLong                        
     0.42%  python   libc-2.19.so         [.] 0x00073e80                            
     0.41%  python   libpython2.7.so.1.0  [.] s_push                                
     0.41%  python   libpython2.7.so.1.0  [.] symtable_visit_expr                   
     0.40%  python   libc-2.19.so         [.] strncpy                               
     0.39%  python   libpython2.7.so.1.0  [.] PyDict_SetItem                        
     0.39%  python   libc-2.19.so         [.] strlen                                
     0.39%  python   libpython2.7.so.1.0  [.] decoding_fgets                        
     0.37%  python   libpython2.7.so.1.0  [.] PyType_IsSubtype                      
     0.37%  python   libpython2.7.so.1.0  [.] ast_for_atom                          
     0.35%  python   libpython2.7.so.1.0  [.] string_richcompare                    
     0.35%  python   libpython2.7.so.1.0  [.] visit_reachable                       
     0.34%  python   libpython2.7.so.1.0  [.] visit_decref                          
     0.34%  python   libpython2.7.so.1.0  [.] tuplehash                             
     0.34%  python   libc-2.19.so         [.] 0x00074154                            
     0.33%  python   libpython2.7.so.1.0  [.] PyString_AsString                     
     0.31%  python   libpython2.7.so.1.0  [.] list_dealloc                          
     0.31%  python   libpython2.7.so.1.0  [.] dict_set_item_by_hash_or_entry        
     0.30%  python   libpython2.7.so.1.0  [.] PyTokenizer_Get                       
     0.30%  python   libpython2.7.so.1.0  [.] tuplerichcompare                      
     0.29%  python   libpython2.7.so.1.0  [.] num_stmts                             
     0.29%  python   libpython2.7.so.1.0  [.] compiler_visit_stmt                   
     0.28%  python   libpython2.7.so.1.0  [.] PyObject_GC_UnTrack                   
     0.28%  python   libpython2.7.so.1.0  [.] assemble_emit                         
     0.28%  python   libpython2.7.so.1.0  [.] _PyType_Lookup                        
     0.28%  python   libc-2.19.so         [.] 0x00073050                            
     0.27%  python   libc-2.19.so         [.] memcmp                                
     0.26%  python   libpython2.7.so.1.0  [.] shift.isra.0                          
     0.26%  python   libpython2.7.so.1.0  [.] ast_for_trailer                       
     0.26%  python   libc-2.19.so         [.] 0x00072fc0                            
     0.25%  python   libc-2.19.so         [.] 0x00072584                            
     0.25%  python   libpython2.7.so.1.0  [.] PyST_GetScope                         
     0.25%  python   libpython2.7.so.1.0  [.] compiler_nameop                       
     0.24%  python   libpython2.7.so.1.0  [.] ast_for_power                         
     0.24%  python   libpython2.7.so.1.0  [.] insertdict_clean                      
     0.24%  python   libpython2.7.so.1.0  [.] compiler_call                         
     0.23%  python   libpython2.7.so.1.0  [.] PyObject_RichCompareBool              
     0.22%  python   libc-2.19.so         [.] 0x00073234                            
     0.22%  python   libpython2.7.so.1.0  [.] block_alloc                           
     0.22%  python   libpython2.7.so.1.0  [.] opcode_stack_effect                   
     0.21%  python   libpython2.7.so.1.0  [.] PyGrammar_FindDFA                     
     0.21%  python   libpython2.7.so.1.0  [.] dfs                                   
     0.21%  python   libpython2.7.so.1.0  [.] PyList_Append                         
     0.20%  python   [kernel.kallsyms]    [k] __do_softirq                          
     0.20%  python   libpython2.7.so.1.0  [.] string_dealloc                        
     0.20%  python   [kernel.kallsyms]    [k] clear_page                            
     0.20%  python   libpython2.7.so.1.0  [.] dictbytype                            
     0.20%  python   libpython2.7.so.1.0  [.] compiler_addop_i                      
     0.19%  python   libc-2.19.so         [.] 0x00073230                            
     0.19%  python   libpython2.7.so.1.0  [.] tok_backup                            
     0.19%  python   libpython2.7.so.1.0  [.] PyTuple_Pack                          
     0.19%  python   libpython2.7.so.1.0  [.] assemble                              
     0.19%  python   libc-2.19.so         [.] strcmp                                
     0.18%  python   libpython2.7.so.1.0  [.] binarysort                            
     0.18%  python   libpython2.7.so.1.0  [.] markblocks                            
     0.18%  python   libc-2.19.so         [.] 0x00074148                            
     0.18%  python   libc-2.19.so         [.] 0x00073f88                            
     0.18%  python   libpython2.7.so.1.0  [.] fixstate                              
     0.17%  python   [kernel.kallsyms]    [k] r4k_blast_dcache_page_dc32            
     0.17%  python   libpython2.7.so.1.0  [.] app1                                  
     0.17%  python   libpython2.7.so.1.0  [.] insertdict                            
     0.17%  python   libpython2.7.so.1.0  [.] PyDict_Merge                          
     0.17%  python   libpython2.7.so.1.0  [.] PyString_FromString                   
     0.16%  python   libpython2.7.so.1.0  [.] dict_keys_inorder                     
     0.16%  python   libpython2.7.so.1.0  [.] PyDict_New                            
     0.16%  python   libc-2.19.so         [.] strstr                                
     0.16%  python   libpthread-2.19.so   [.] _IO_flockfile                         
     0.16%  python   libpython2.7.so.1.0  [.] dictresize                            
     0.16%  python   libc-2.19.so         [.] 0x00073f74                            
     0.16%  python   libpython2.7.so.1.0  [.] compiler_unit_free                    
     0.16%  python   libpython2.7.so.1.0  [.] compiler_set_lineno.isra.2            
     0.16%  python   libpython2.7.so.1.0  [.] analyze_block                         
     0.16%  python   libpython2.7.so.1.0  [.] dict_keys                             
     0.16%  python   libpython2.7.so.1.0  [.] PyString_FromStringAndSize            
     0.16%  python   libpython2.7.so.1.0  [.] _PyString_Eq                          
     0.16%  python   libpython2.7.so.1.0  [.] symtable_add_def                      
